source_i,source_j,coherence,principal_angle_rad,sigma_min
3,4,0.8654971092430652,0.5246543998282635,7374.82791538805
3,7,0.32743887266000804,1.237204582967943,10251.139072905802
3,8,0.2590174946361189,1.3087914832638108,18021.58624854453
3,12,-0.890393607565626,0.47258717943399947,2349.5546397681455
3,15,0.8571798279164777,0.5410277447360718,4874.260057466499
3,16,0.9692357398973117,0.24868979495783028,3474.033467532223
3,18,0.9804063623820145,0.1982824206247693,1430.5718065600183
3,20,0.9612403673379647,0.2793300490897052,4852.324094667884
3,21,0.8735625927157035,0.5083216862206043,6025.96686762191
3,23,0.8230359540427408,0.6040607332557619,7955.023777160975
3,24,0.9609173756511884,0.28049915007045323,4462.861576843375
3,25,0.9539623747448753,0.30461540010010696,3075.106918476065
3,26,0.8142557246175882,0.6193504012720115,4869.75131763151
3,27,0.6251173728424951,0.8955144272334009,11202.18981618176
3,28,0.8318592257122651,0.588346968477299,6714.078118054623
4,7,0.056642729281128304,1.514123264955881,11095.116740341928
4,8,-0.011005636513748463,1.5597904680945203,21208.51115126422
4,12,-0.6667249926009852,0.8409904153767779,3908.2232176292946
4,15,0.8499005270736664,0.5549998352690956,5086.729286665776
4,16,0.817732216277104,0.6133362751598294,8900.847318236487
4,18,0.8797873204133506,0.4953817120801167,3533.261166481578
4,20,0.78605437972844,0.6663963629377775,12151.421779584354
4,21,0.7820414542846589,0.6728615859786269,8171.376803515809
4,23,0.6573321379234713,0.8535232081652365,11573.130476311186
4,24,0.7661890470887803,0.6979067067898975,11622.047724838434
4,25,0.774063013090804,0.6855625520217491,6882.867164987838
4,26,0.633169157101379,0.8851554908922427,6718.334928932297
4,27,0.4925019939842658,1.0558340781169953,13511.953219808443
4,28,0.6340965253306535,0.883956773530221,10114.649635741842
7,8,0.9735338392024492,0.23058072229874108,2365.097266400317
7,12,-0.35094527561554967,1.2122159310795526,4895.960466740757
7,15,0.23321871819562623,1.3354099570971263,9442.704677417803
7,16,0.34223777362758206,1.221498869302029,10216.805425105746
7,18,0.32655093207896285,1.238144176724539,7087.544214342637
