traj,split,seed,scenario,amplitude_a,amplitude_b,parent_seed
CAL_NOMINAL_V1_1,CAL_NOMINAL_V1,20262001,A_governor,0.009221707770784928,0.0,20260911
CAL_NOMINAL_V1_2,CAL_NOMINAL_V1,20262002,B_load,0.0,0.0062642441967700226,20260911
CAL_NOMINAL_V1_3,CAL_NOMINAL_V1,20262003,A+B,0.008455901765366385,0.009648150505052487,20260911
CAL_NOMINAL_V1_4,CAL_NOMINAL_V1,20262004,A_governor,0.005541557039873089,0.0,20260911
CAL_NOMINAL_V1_5,CAL_NOMINAL_V1,20262005,B_load,0.0,0.009834341619949942,20260911
CAL_NOMINAL_V1_6,CAL_NOMINAL_V1,20262006,A+B,0.003530140832733849,0.009559784783742396,20260911
CAL_NOMINAL_V1_7,CAL_NOMINAL_V1,20262007,A_governor,0.0033543504089840344,0.0,20260911
CAL_NOMINAL_V1_8,CAL_NOMINAL_V1,20262008,B_load,0.0,0.0033804090921255095,20260911
CAL_NOMINAL_V1_9,CAL_NOMINAL_V1,20262009,A+B,0.0067584990485497695,0.007781646061638744,20260911
CAL_NOMINAL_V1_10,CAL_NOMINAL_V1,20262010,A_governor,0.0038694673604323365,0.0,20260911
CAL_NOMINAL_V1_11,CAL_NOMINAL_V1,20262011,B_load,0.0,0.007118708652038528,20260911
CAL_NOMINAL_V1_12,CAL_NOMINAL_V1,20262012,A+B,0.009771041258228103,0.002235684132546153,20260911
CAL_NOMINAL_V1_13,CAL_NOMINAL_V1,20262013,A_governor,0.005407621412302239,0.0,20260911
CAL_NOMINAL_V1_14,CAL_NOMINAL_V1,20262014,B_load,0.0,0.002493193424306206,20260911
CAL_NOMINAL_V1_15,CAL_NOMINAL_V1,20262015,A+B,0.005992720674097349,0.005796822483641513,20260911
CAL_NOMINAL_V1_16,CAL_NOMINAL_V1,20262016,A_governor,0.0036998087762561303,0.0,20260911
CAL_NOMINAL_V1_17,CAL_NOMINAL_V1,20262017,B_load,0.0,0.002100774687836493,20260911
CAL_NOMINAL_V1_18,CAL_NOMINAL_V1,20262018,A+B,0.009675994069157107,0.008467210438101884,20260911
CAL_NOMINAL_V1_19,CAL_NOMINAL_V1,20262019,A_governor,0.004285807989489767,0.0,20260911
CAL_NOMINAL_V1_20,CAL_NOMINAL_V1,20262020,B_load,0.0,0.005516814977501106,20260911
CAL_NOMINAL_V1_21,CAL_NOMINAL_V1,20262021,A+B,0.0023929497138016113,0.00645290907850919,20260911
CAL_NOMINAL_V1_22,CAL_NOMINAL_V1,20262022,A_governor,0.0024369495124999044,0.0,20260911
CAL_NOMINAL_V1_23,CAL_NOMINAL_V1,20262023,B_load,0.0,0.0065875800679850655,20260911
CAL_NOMINAL_V1_24,CAL_NOMINAL_V1,20262024,A+B,0.009740660530959637,0.008488260233457185,20260911
CAL_NOMINAL_V1_25,CAL_NOMINAL_V1,20262025,A_governor,0.007730199693398586,0.0,20260911
CAL_NOMINAL_V1_26,CAL_NOMINAL_V1,20262026,B_load,0.0,0.006450146829172088,20260911
CAL_NOMINAL_V1_27,CAL_NOMINAL_V1,20262027,A+B,0.003533043249715673,0.007008352017356723,20260911
CAL_NOMINAL_V1_28,CAL_NOMINAL_V1,20262028,A_governor,0.006617365843630687,0.0,20260911
CAL_NOMINAL_V1_29,CAL_NOMINAL_V1,20262029,B_load,0.0,0.008290766544336598,20260911
CAL_NOMINAL_V1_30,CAL_NOMINAL_V1,20262030,A+B,0.009726771144945908,0.0073248186919895805,20260911
