from_bus,to_bus,r,x,b,tap,shift_deg
1,2,0.0034665692,0.040905025472,0.700377345808,1.0,0.0
1,39,0.000993758772,0.024922086763,0.751174493821,1.0,0.0
10,32,0.0,0.02,0.0,1.07,30.0
11,10,0.000399958205,0.004299759595,0.072901604405,1.0,0.0
11,12,0.0016,0.0435,0.0,0.994035785288,0.0
11,6,0.000699734263,0.008198417106,0.138912545575,1.0,0.0
12,13,0.0016,0.0435,0.0,1.006,0.0
13,10,0.000399958205,0.004299759595,0.072901604405,1.0,0.0
14,13,0.000899478002,0.010097067221,0.172324531432,1.0,0.0
14,4,0.000799524655,0.01289619015,0.138220621642,1.0,0.0
15,14,0.001795237493,0.021671526289,0.366243136901,1.0,0.0
15,16,0.000899517841,0.009397471948,0.171022306198,1.0,0.0
16,17,0.000699721335,0.008898266179,0.134213763053,1.0,0.0
16,19,0.00159683979,0.019480905922,0.30415083789,1.0,0.0
17,18,0.000699747655,0.008198486364,0.13191114382,1.0,0.0
18,3,0.001098957584,0.013293781683,0.213851334406,1.0,0.0
19,20,0.0007,0.0138,0.0,1.06,0.0
19,33,0.0007,0.0142,0.0,1.07,30.0
2,25,0.006997070468,0.008599411992,0.14601560752,1.0,0.0
2,30,0.0,0.0181,0.0,1.025,30.0
20,34,0.0009,0.018,0.0,1.009,30.0
21,16,0.000799082962,0.013492250317,0.254872333002,1.0,0.0
22,21,0.000799042656,0.013991661077,0.256576990486,1.0,0.0
22,23,0.000599645614,0.009597189565,0.18462752995,1.0,0.0
22,35,0.0,0.0143,0.0,1.025,30.0
23,24,0.002190743092,0.034926646206,0.361380719306,1.0,0.0
23,36,0.0005,0.0272,0.0,1.0,30.0
24,16,0.000299959881,0.005899588211,0.068002062719,1.0,0.0
25,26,0.003182347357,0.032211714241,0.513709017742,1.0,0.0
25,37,0.0006,0.0232,0.0,1.025,30.0
26,28,0.004247139594,0.047110805343,0.782613744345,1.0,0.0
27,17,0.001297590084,0.017284024331,0.321748654597,1.0,0.0
27,26,0.001398356777,0.014691450355,0.239670346335,1.0,0.0
29,26,0.005578392989,0.061837704637,1.034549452701,1.0,0.0
29,28,0.001398245876,0.015090610801,0.249077883697,1.0,0.0
29,38,0.0008,0.0156,0.0,1.025,30.0
3,2,0.001298317536,0.015090336375,0.257283890552,1.0,0.0
4,3,0.001297957193,0.021283362481,0.221487438244,1.0,0.0
4,5,0.000799541986,0.012796399097,0.134219728176,1.0,0.0
5,6,0.000199992478,0.002599917496,0.043399842387,1.0,0.0
5,8,0.000799559224,0.011196906577,0.147620025517,1.0,0.0
6,31,0.0,0.025,0.0,1.07,30.0
6,7,0.000599792095,0.00919843881,0.113010110398,1.0,0.0
7,8,0.000399952162,0.004599703271,0.078001929621,1.0,0.0
8,9,0.002289424416,0.036216845317,0.380838275007,1.0,0.0
9,39,0.000990022455,0.024875400367,1.203009701995,1.0,0.0
