candidate_bus,epsilon,plus_minus_norm,plus_minus_cosine,central_vs_plus_relerr,central_vs_minus_relerr,central_norm
3,0.005,0.01869732017485758,0.9999989713924358,0.0007714719819950714,0.0007710342592194843,12.121388149284199
4,0.005,0.03131324657777916,0.9999984258504414,0.0011112931373925172,0.0011098094000142435,14.098065128006875
7,0.005,0.00689452223597632,0.9999996668705226,0.00046268305596105857,0.000462481595846239,7.452210777009144
8,0.005,0.03578639194731286,0.9999984635861846,0.0009569456369714098,0.0009562125291446391,18.705397227576256
12,0.005,0.0014883516751806138,0.9999999292209836,0.00022412365172383333,0.00022406907209872854,3.320784992273983
15,0.005,0.012283656853583303,0.9999993434579549,0.0008771933345113168,0.0008760301442769341,7.006328852536975
16,0.005,0.021147518795091327,0.999998918360595,0.0008045846596730673,0.0008040606383343765,13.146164258124395
18,0.005,0.0036985800342272616,0.999999821382474,0.00036821727988897566,0.00036805899433161096,5.0233589883385825
20,0.005,0.12828973075887143,0.9999945858592901,0.002349057839871152,0.002341219906048201,27.352306691518276
21,0.005,0.01295583051636926,0.9999995085662848,0.0006312227347703859,0.0006307300649779303,10.266494041515593
23,0.005,0.021271915965693094,0.9999989787333335,0.0008628279227040185,0.0008619951348265852,12.332810255902023
24,0.005,0.039711980948100876,0.9999978303882613,0.0010781010562017678,0.001077503476277804,18.422656782251064
25,0.005,0.008268342588665984,0.9999995749562465,0.0005432651035182558,0.0005429532138442784,7.612044705551957
26,0.005,0.004621986881919752,0.9999997569226449,0.0003932593352528839,0.00039311635753522207,5.877580902139766
27,0.005,0.01723868439841164,0.9999991905782984,0.0007270326016674828,0.0007265217974063458,11.859675186516093
28,0.005,0.015972499220755557,0.9999991210298181,0.0008502971890323237,0.0008493933888321627,9.397298799665773
