predictor,outcome,n,spearman,AUROC
M1,p_M2,2400,0.8183438485353446,
M1,exact,2400,0.7245435515963208,0.8983825994360198
M1,top3,2400,0.5884993222693686,0.8614100991656446
M1,entropy,2400,-0.42614575453919346,
SHARED_DOUBLE,p_M2,2400,0.8198160970787945,
SHARED_DOUBLE,exact,2400,0.7782711207651715,0.9332704935812743
SHARED_DOUBLE,top3,2400,0.5266892598241288,0.8234512095757193
SHARED_DOUBLE,entropy,2400,-0.3880722106028143,
DISJOINT_DOUBLE,p_M2,2400,0.7266804409386689,
DISJOINT_DOUBLE,exact,2400,0.6808400110012144,0.8750085780205478
DISJOINT_DOUBLE,top3,2400,0.5881270110323508,0.8611814548223135
DISJOINT_DOUBLE,entropy,2400,-0.4766146287525397,
GLOBAL,p_M2,2400,0.8233412765676252,
GLOBAL,exact,2400,0.7804809722088205,0.9344079193863265
GLOBAL,top3,2400,0.5287184200368786,0.8246973605328434
GLOBAL,entropy,2400,-0.3873014344273324,
weak_severity2_R,p_M2,2400,0.6127143533257507,
weak_severity2_R,exact,2400,0.5598882601243427,0.8016517126461715
weak_severity2_R,top3,2400,0.5239001240966419,0.8217383412992184
weak_severity2_R,entropy,2400,-0.42072621193163395,
support_only_R,p_M2,2400,0.17597897742656365,
support_only_R,exact,2400,0.1396601055542395,0.5773910985782178
support_only_R,top3,2400,0.12883696017893265,0.5791215500043607
support_only_R,entropy,2400,-0.1967535523877695,
conditional_fisher,p_M2,2400,0.17597897742656365,
conditional_fisher,exact,2400,0.1396601055542395,0.5773910985782178
conditional_fisher,top3,2400,0.12883696017893265,0.5791215500043607
conditional_fisher,entropy,2400,-0.1967535523877695,
