source_i,source_j,sigma_min,coherence,classification
3,4,1675.372275505531,0.9997085132555299,PERSISTENTLY_RESOLVABLE
3,7,2683.8267533825565,0.9980686972234917,PERSISTENTLY_RESOLVABLE
3,8,4974.975498885312,0.9975370285328904,PERSISTENTLY_RESOLVABLE
3,12,447.8524717671782,-0.9994546068852445,PERSISTENTLY_RESOLVABLE
3,15,1138.5999024767737,0.9997621943033775,PERSISTENTLY_RESOLVABLE
3,16,865.8049217499172,0.9999129782244797,PERSISTENTLY_RESOLVABLE
3,18,346.94687078586975,0.9999558204302867,PERSISTENTLY_RESOLVABLE
3,20,1079.1378957963511,0.999916057694581,PERSISTENTLY_RESOLVABLE
3,21,1744.2609233774253,0.9994894073196655,PERSISTENTLY_RESOLVABLE
3,23,2183.470089189719,0.9992665972025387,PERSISTENTLY_RESOLVABLE
3,24,977.2938545081558,0.9999048713987846,PERSISTENTLY_RESOLVABLE
3,25,813.9697071478288,0.9998735382220352,PERSISTENTLY_RESOLVABLE
3,26,1288.1373383820435,0.9993418506671115,PERSISTENTLY_RESOLVABLE
3,27,2948.4408311342804,0.9985352899175609,PERSISTENTLY_RESOLVABLE
3,28,1744.6959318789457,0.9994033024895657,PERSISTENTLY_RESOLVABLE
4,7,3449.854762266607,0.9969550268564598,PERSISTENTLY_RESOLVABLE
4,8,6495.583364497117,0.9963228287827272,PERSISTENTLY_RESOLVABLE
4,12,639.1763982600166,-0.9988938391580513,PERSISTENTLY_RESOLVABLE
4,15,1593.1347133380884,0.9995657810226861,PERSISTENTLY_RESOLVABLE
4,16,2043.4105987204712,0.999566868097793,PERSISTENTLY_RESOLVABLE
4,18,911.6833265268177,0.9997051914502604,PERSISTENTLY_RESOLVABLE
4,20,2827.4076311076183,0.9995225239201616,PERSISTENTLY_RESOLVABLE
4,21,2253.103605884706,0.9992107499064525,PERSISTENTLY_RESOLVABLE
4,23,2891.9924172875085,0.9988166966225566,PERSISTENTLY_RESOLVABLE
4,24,2439.5946872514096,0.9994807633368327,PERSISTENTLY_RESOLVABLE
4,25,1827.240346484999,0.9994039371474158,PERSISTENTLY_RESOLVABLE
4,26,1754.4247855931603,0.9988169599923766,PERSISTENTLY_RESOLVABLE
4,27,3559.7875503639534,0.998021324235267,PERSISTENTLY_RESOLVABLE
4,28,2498.8249714722224,0.9988530417097774,PERSISTENTLY_RESOLVABLE
7,8,703.7736872123974,0.9998755041767046,PERSISTENTLY_RESOLVABLE
7,12,845.3425345163071,-0.9979472992994384,PERSISTENTLY_RESOLVABLE
7,15,2649.7785065430157,0.9976457776276302,PERSISTENTLY_RESOLVABLE
7,16,2754.9268002907324,0.9979658630495319,PERSISTENTLY_RESOLVABLE
7,18,1960.5708645838968,0.9980055106837722,PERSISTENTLY_RESOLVABLE
7,20,2998.5560059974136,0.9979850992288409,PERSISTENTLY_RESOLVABLE
7,21,2801.482141911795,0.9974909119660403,PERSISTENTLY_RESOLVABLE
7,23,3016.59835760847,0.9972179136785553,PERSISTENTLY_RESOLVABLE
7,24,2827.0858890742543,0.9979894804069516,PERSISTENTLY_RESOLVABLE
7,25,2332.88318040039,0.9981347656262952,PERSISTENTLY_RESOLVABLE
7,26,2163.632385154149,0.9974325080383911,PERSISTENTLY_RESOLVABLE
7,27,3288.151657102841,0.9965361922952252,PERSISTENTLY_RESOLVABLE
7,28,2694.6856201614983,0.9974739623704483,PERSISTENTLY_RESOLVABLE
8,12,953.8214435592962,-0.9975391090239216,PERSISTENTLY_RESOLVABLE
8,15,4185.423114406207,0.9970780835110512,PERSISTENTLY_RESOLVABLE
8,16,5095.177754711089,0.9974195957635517,PERSISTENTLY_RESOLVABLE
8,18,2688.96591189968,0.9974650832876178,PERSISTENTLY_RESOLVABLE
8,20,6794.261542226499,0.9974425044953822,PERSISTENTLY_RESOLVABLE
8,21,4505.041051848395,0.9969319280350548,PERSISTENTLY_RESOLVABLE
8,23,4927.608827902017,0.9966693452311184,PERSISTENTLY_RESOLVABLE
8,24,5547.301604035464,0.9974488160645844,PERSISTENTLY_RESOLVABLE
8,25,3679.3227680355544,0.9976413575992666,PERSISTENTLY_RESOLVABLE
8,26,2844.4027825872995,0.9969236162928243,PERSISTENTLY_RESOLVABLE
8,27,5116.3040247716335,0.9960252950908072,PERSISTENTLY_RESOLVABLE
8,28,4117.043072738802,0.9969591575657356,PERSISTENTLY_RESOLVABLE
12,15,589.6839062422763,-0.9990309345196853,PERSISTENTLY_RESOLVABLE
12,16,460.74852964158606,-0.9994227614125334,PERSISTENTLY_RESOLVABLE
12,18,478.97227419855585,-0.9993186477081636,PERSISTENTLY_RESOLVABLE
12,20,416.0092741937736,-0.9995370556096734,PERSISTENTLY_RESOLVABLE
12,21,687.3993473989607,-0.9986903388411916,PERSISTENTLY_RESOLVABLE
12,23,616.9823355348589,-0.9989503524114093,PERSISTENTLY_RESOLVABLE
12,24,388.3039891129463,-0.9995925285109043,PERSISTENTLY_RESOLVABLE
12,25,442.0129130813088,-0.9994541598541377,PERSISTENTLY_RESOLVABLE
12,26,567.143589827617,-0.9990351240046866,PERSISTENTLY_RESOLVABLE
12,27,810.2543868107069,-0.9981795439850949,PERSISTENTLY_RESOLVABLE
12,28,547.0792214776802,-0.9991621886524098,PERSISTENTLY_RESOLVABLE
15,16,736.0220389369412,0.999900692614112,PERSISTENTLY_RESOLVABLE
15,18,486.9471812092441,0.9998970313323496,PERSISTENTLY_RESOLVABLE
15,20,1178.2264991420363,0.9998065991423724,PERSISTENTLY_RESOLVABLE
15,21,872.8705810835027,0.9998209180728879,PERSISTENTLY_RESOLVABLE
15,23,1906.8428257453425,0.9991962252544081,PERSISTENTLY_RESOLVABLE
15,24,1259.5722260406728,0.9997353169884287,PERSISTENTLY_RESOLVABLE
15,25,1467.0357407250096,0.9994445254225701,PERSISTENTLY_RESOLVABLE
15,26,1663.2455844324606,0.998716763812016,PERSISTENTLY_RESOLVABLE
15,27,3065.0100272757422,0.9977857406463695,PERSISTENTLY_RESOLVABLE
15,28,2148.4993436723657,0.9987848546198108,PERSISTENTLY_RESOLVABLE
16,18,304.0137321269302,0.9999660888151184,PERSISTENTLY_RESOLVABLE
16,20,523.0596372474073,0.9999803111021893,PERSISTENTLY_RESOLVABLE
16,21,1342.4834614873205,0.9996977518812284,PERSISTENTLY_RESOLVABLE
16,23,1992.476661923207,0.9993897555389053,PERSISTENTLY_RESOLVABLE
16,24,697.9143871854084,0.9999515430249872,PERSISTENTLY_RESOLVABLE
16,25,1312.94932831313,0.9996711633341895,PERSISTENTLY_RESOLVABLE
16,26,1597.8392237089108,0.9989875414248333,PERSISTENTLY_RESOLVABLE
16,27,3403.2993369669603,0.9980498096073958,PERSISTENTLY_RESOLVABLE
16,28,2169.524164446133,0.999077859111858,PERSISTENTLY_RESOLVABLE
18,20,451.941797579683,0.9999340459580066,PERSISTENTLY_RESOLVABLE
18,21,923.5458387284972,0.9996429159271258,PERSISTENTLY_RESOLVABLE
18,23,1311.7792778224962,0.9993036328244498,PERSISTENTLY_RESOLVABLE
18,24,529.243573392291,0.9999018459311169,PERSISTENTLY_RESOLVABLE
18,25,812.5192382597015,0.999708397102051,PERSISTENTLY_RESOLVABLE
18,26,1232.3627048582669,0.9990167894836202,PERSISTENTLY_RESOLVABLE
18,27,2131.758888744065,0.9980941646304157,PERSISTENTLY_RESOLVABLE
18,28,1423.924233103566,0.9990939586056654,PERSISTENTLY_RESOLVABLE
20,21,1854.7358449486655,0.9995744285657675,PERSISTENTLY_RESOLVABLE
20,23,2350.7881843833716,0.9993936437806845,PERSISTENTLY_RESOLVABLE
20,24,604.5346423714764,0.9999797254227945,PERSISTENTLY_RESOLVABLE
20,25,1412.5271155576602,0.9997071782349479,PERSISTENTLY_RESOLVABLE
20,26,1636.8146905116237,0.9990553396198018,PERSISTENTLY_RESOLVABLE
20,27,3879.9286338094525,0.9981269769960452,PERSISTENTLY_RESOLVABLE
